 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in  H- O.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   4,692E+02  2,287E+01    2,76 um     2814 A      3353 A   
   1,00 MeV   5,027E+02  2,114E+01    2,95 um     2882 A      3477 A   
   1,10 MeV   5,350E+02  1,967E+01    3,13 um     2940 A      3585 A   
   1,20 MeV   5,663E+02  1,842E+01    3,31 um     2991 A      3681 A   
   1,30 MeV   5,967E+02  1,732E+01    3,47 um     3035 A      3766 A   
   1,40 MeV   6,264E+02  1,637E+01    3,63 um     3074 A      3843 A   
   1,50 MeV   6,555E+02  1,552E+01    3,78 um     3108 A      3912 A   
   1,60 MeV   6,841E+02  1,476E+01    3,92 um     3139 A      3976 A   
   1,70 MeV   7,122E+02  1,408E+01    4,06 um     3167 A      4034 A   
   1,80 MeV   7,398E+02  1,347E+01    4,20 um     3193 A      4087 A   
   2,00 MeV   7,936E+02  1,240E+01    4,45 um     3247 A      4181 A   
   2,25 MeV   8,582E+02  1,130E+01    4,75 um     3308 A      4281 A   
   2,50 MeV   9,195E+02  1,040E+01    5,02 um     3359 A      4366 A   
   2,75 MeV   9,773E+02  9,635E+00    5,28 um     3403 A      4439 A   
   3,00 MeV   1,032E+03  8,986E+00    5,53 um     3441 A      4503 A   
   3,25 MeV   1,082E+03  8,426E+00    5,76 um     3474 A      4559 A   
   3,50 MeV   1,129E+03  7,936E+00    5,98 um     3503 A      4609 A   
   3,75 MeV   1,172E+03  7,505E+00    6,20 um     3530 A      4655 A   
   4,00 MeV   1,212E+03  7,122E+00    6,41 um     3554 A      4696 A   
   4,50 MeV   1,282E+03  6,469E+00    6,80 um     3619 A      4769 A   
   5,00 MeV   1,341E+03  5,934E+00    7,18 um     3676 A      4831 A   
   5,50 MeV   1,390E+03  5,487E+00    7,55 um     3726 A      4886 A   
   6,00 MeV   1,432E+03  5,107E+00    7,90 um     3772 A      4935 A   
   6,50 MeV   1,467E+03  4,779E+00    8,24 um     3815 A      4979 A   
   7,00 MeV   1,497E+03  4,494E+00    8,58 um     3855 A      5020 A   
   8,00 MeV   1,542E+03  4,021E+00    9,23 um     3983 A      5093 A   
   9,00 MeV   1,574E+03  3,643E+00    9,87 um     4100 A      5157 A   
  10,00 MeV   1,594E+03  3,335E+00   10,50 um     4209 A      5214 A   
  11,00 MeV   1,605E+03  3,078E+00   11,12 um     4313 A      5267 A   
  12,00 MeV   1,608E+03  2,860E+00   11,75 um     4413 A      5316 A   
  13,00 MeV   1,606E+03  2,672E+00   12,37 um     4510 A      5362 A   
  14,00 MeV   1,599E+03  2,509E+00   12,99 um     4605 A      5406 A   
  15,00 MeV   1,588E+03  2,366E+00   13,62 um     4699 A      5449 A   
  16,00 MeV   1,575E+03  2,240E+00   14,25 um     4792 A      5490 A   
  17,00 MeV   1,559E+03  2,127E+00   14,88 um     4885 A      5530 A   
  18,00 MeV   1,542E+03  2,026E+00   15,53 um     4978 A      5569 A   
  20,00 MeV   1,506E+03  1,851E+00   16,84 um     5328 A      5645 A   
  22,50 MeV   1,458E+03  1,673E+00   18,52 um     5855 A      5738 A   
  25,00 MeV   1,411E+03  1,528E+00   20,26 um     6369 A      5831 A   
  27,50 MeV   1,365E+03  1,407E+00   22,06 um     6875 A      5924 A   
  30,00 MeV   1,321E+03  1,305E+00   23,92 um     7377 A      6017 A   
  32,50 MeV   1,279E+03  1,218E+00   25,84 um     7878 A      6112 A   
  35,00 MeV   1,240E+03  1,142E+00   27,83 um     8378 A      6209 A   
  37,50 MeV   1,203E+03  1,076E+00   29,87 um     8879 A      6309 A   
  40,00 MeV   1,169E+03  1,017E+00   31,98 um     9380 A      6411 A   
  45,00 MeV   1,131E+03  9,177E-01   36,32 um     1,12 um     6621 A   
  50,00 MeV   1,080E+03  8,371E-01   40,84 um     1,30 um     6840 A   
  55,00 MeV   1,028E+03  7,701E-01   45,59 um     1,46 um     7070 A   
  60,00 MeV   9,812E+02  7,136E-01   50,56 um     1,62 um     7313 A   
  65,00 MeV   9,401E+02  6,651E-01   55,76 um     1,79 um     7569 A   
  70,00 MeV   9,035E+02  6,232E-01   61,19 um     1,95 um     7839 A   
  80,00 MeV   8,405E+02  5,541E-01   72,66 um     2,54 um     8417 A   
  90,00 MeV   7,880E+02  4,994E-01   84,94 um     3,08 um     9048 A   
 100,00 MeV   7,431E+02  4,550E-01   98,01 um     3,60 um     9729 A   
 110,00 MeV   7,039E+02  4,182E-01  111,83 um     4,10 um     1,05 um  
 120,00 MeV   6,691E+02  3,872E-01  126,39 um     4,59 um     1,12 um  
 130,00 MeV   6,378E+02  3,606E-01  141,70 um     5,08 um     1,21 um  
 140,00 MeV   6,094E+02  3,376E-01  157,73 um     5,57 um     1,29 um  
 150,00 MeV   5,833E+02  3,175E-01  174,50 um     6,06 um     1,38 um  
 160,00 MeV   5,591E+02  2,998E-01  192,00 um     6,55 um     1,48 um  
 170,00 MeV   5,367E+02  2,840E-01  210,25 um     7,04 um     1,58 um  
 180,00 MeV   5,158E+02  2,699E-01  229,25 um     7,54 um     1,68 um  
 200,00 MeV   4,778E+02  2,457E-01  269,53 um     9,46 um     1,90 um  
 225,00 MeV   4,361E+02  2,212E-01  324,30 um    12,24 um     2,20 um  
 250,00 MeV   3,999E+02  2,012E-01  384,15 um    14,90 um     2,52 um  
 275,00 MeV   3,682E+02  1,848E-01  449,29 um    17,53 um     2,88 um  
 300,00 MeV   3,404E+02  1,709E-01  519,90 um    20,19 um     3,26 um  
 325,00 MeV   3,159E+02  1,590E-01  596,13 um    22,91 um     3,67 um  
 350,00 MeV   2,944E+02  1,488E-01  678,10 um    25,69 um     4,12 um  
 375,00 MeV   2,756E+02  1,398E-01  765,86 um    28,55 um     4,60 um  
 400,00 MeV   2,591E+02  1,319E-01  859,41 um    31,49 um     5,11 um  
 450,00 MeV   2,322E+02  1,186E-01    1,06 mm    42,74 um     6,22 um  
 500,00 MeV   2,124E+02  1,079E-01    1,29 mm    53,34 um     7,46 um  
 550,00 MeV   1,984E+02  9,899E-02    1,53 mm    63,54 um     8,80 um  
 600,00 MeV   1,893E+02  9,150E-02    1,79 mm    73,31 um    10,22 um  
 650,00 MeV   1,773E+02  8,510E-02    2,06 mm    82,90 um    11,72 um  
 700,00 MeV   1,670E+02  7,958E-02    2,35 mm    92,58 um    13,32 um  
 800,00 MeV   1,498E+02  7,051E-02    2,99 mm   128,83 um    16,77 um  
 900,00 MeV   1,362E+02  6,336E-02    3,69 mm   162,58 um    20,56 um  
   1,00 GeV   1,252E+02  5,757E-02    4,45 mm   195,47 um    24,69 um  
   1,10 GeV   1,160E+02  5,279E-02    5,28 mm   228,13 um    29,14 um  
   1,20 GeV   1,082E+02  4,877E-02    6,17 mm   260,86 um    33,91 um  
   1,30 GeV   1,016E+02  4,534E-02    7,13 mm   293,81 um    38,98 um  
   1,40 GeV   9,585E+01  4,238E-02    8,14 mm   327,05 um    44,35 um  
   1,50 GeV   9,083E+01  3,979E-02    9,21 mm   360,62 um    50,00 um  
   1,60 GeV   8,639E+01  3,752E-02   10,34 mm   394,56 um    55,94 um  
   1,70 GeV   8,245E+01  3,550E-02   11,53 mm   428,84 um    62,15 um  
   1,80 GeV   7,892E+01  3,369E-02   12,76 mm   463,49 um    68,63 um  
   2,00 GeV   7,287E+01  3,060E-02   15,40 mm   595,34 um    82,36 um  
   2,25 GeV   6,675E+01  2,747E-02   18,99 mm   782,49 um   100,90 um  
   2,50 GeV   6,179E+01  2,494E-02   22,88 mm   957,30 um   120,87 um  
   2,75 GeV   5,770E+01  2,286E-02   27,07 mm     1,13 mm   142,20 um  
   3,00 GeV   5,426E+01  2,110E-02   31,53 mm     1,29 mm   164,80 um  
   3,25 GeV   5,133E+01  1,961E-02   36,27 mm     1,46 mm   188,59 um  
   3,50 GeV   4,881E+01  1,832E-02   41,26 mm     1,62 mm   213,50 um  
   3,75 GeV   4,661E+01  1,719E-02   46,50 mm     1,78 mm   239,48 um  
   4,00 GeV   4,468E+01  1,620E-02   51,98 mm     1,94 mm   266,44 um  
   4,50 GeV   4,144E+01  1,454E-02   63,60 mm     2,55 mm   323,16 um  
   5,00 GeV   3,884E+01  1,320E-02   76,06 mm     3,10 mm   383,22 um  
   5,50 GeV   3,671E+01  1,209E-02   89,30 mm     3,62 mm   446,24 um  
   6,00 GeV   3,493E+01  1,116E-02  103,27 mm     4,13 mm   511,91 um  
   6,50 GeV   3,342E+01  1,036E-02  117,90 mm     4,62 mm   579,92 um  
   7,00 GeV   3,213E+01  9,677E-03  133,16 mm     5,10 mm   650,01 um  
   8,00 GeV   3,005E+01  8,555E-03  165,34 mm     6,84 mm   795,55 um  
   9,00 GeV   2,843E+01  7,672E-03  199,56 mm     8,38 mm   946,91 um  
  10,00 GeV   2,716E+01  6,960E-03  235,54 mm     9,81 mm     1,10 mm  
  11,00 GeV   2,613E+01  6,373E-03  273,09 mm    11,15 mm     1,26 mm  
  12,00 GeV   2,528E+01  5,879E-03  311,99 mm    12,44 mm     1,42 mm  
  13,00 GeV   2,458E+01  5,459E-03  352,10 mm    13,68 mm     1,59 mm  
  14,00 GeV   2,399E+01  5,097E-03  393,28 mm    14,87 mm     1,75 mm  
  15,00 GeV   2,349E+01  4,781E-03  435,41 mm    16,02 mm     1,92 mm  
  16,00 GeV   2,306E+01  4,503E-03  478,37 mm    17,14 mm     2,08 mm  
  17,00 GeV   2,269E+01  4,257E-03  522,08 mm    18,22 mm     2,25 mm  
  18,00 GeV   2,237E+01  4,037E-03  566,46 mm    19,27 mm     2,42 mm  
  20,00 GeV   2,185E+01  3,661E-03  656,90 mm    23,14 mm     2,75 mm  
  22,50 GeV   2,137E+01  3,281E-03  772,59 mm    28,34 mm     3,15 mm  
  25,00 GeV   2,102E+01  2,975E-03  890,55 mm    32,89 mm     3,55 mm  
  27,50 GeV   2,076E+01  2,723E-03    1,01 m     37,00 mm     3,94 mm  
  30,00 GeV   2,057E+01  2,511E-03    1,13 m     40,77 mm     4,33 mm  
  32,50 GeV   2,043E+01  2,331E-03    1,25 m     44,27 mm     4,70 mm  
  35,00 GeV   2,033E+01  2,175E-03    1,38 m     47,55 mm     5,07 mm  
  37,50 GeV   2,025E+01  2,040E-03    1,50 m     50,65 mm     5,42 mm  
  40,00 GeV   2,021E+01  1,921E-03    1,62 m     53,58 mm     5,77 mm  
  45,00 GeV   2,017E+01  1,721E-03    1,87 m     64,02 mm     6,44 mm  
  50,00 GeV   2,017E+01  1,560E-03    2,12 m     73,00 mm     7,08 mm  
  55,00 GeV   2,021E+01  1,427E-03    2,37 m     80,97 mm     7,69 mm  
  60,00 GeV   2,027E+01  1,316E-03    2,61 m     88,19 mm     8,27 mm  
  65,00 GeV   2,034E+01  1,221E-03    2,86 m     94,82 mm     8,83 mm  
  70,00 GeV   2,043E+01  1,139E-03    3,10 m    100,96 mm     9,37 mm  
  80,00 GeV   2,061E+01  1,006E-03    3,59 m    122,25 mm    10,38 mm  
  90,00 GeV   2,080E+01  9,007E-04    4,07 m    140,03 mm    11,32 mm  
 100,00 GeV   2,100E+01  8,161E-04    4,55 m    155,52 mm    12,20 mm  
