 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   4,623E+02  6,086E+00    3,15 um     2476 A      3184 A   
   1,00 MeV   4,927E+02  5,598E+00    3,36 um     2523 A      3266 A   
   1,10 MeV   5,219E+02  5,189E+00    3,55 um     2563 A      3337 A   
   1,20 MeV   5,499E+02  4,839E+00    3,73 um     2598 A      3399 A   
   1,30 MeV   5,765E+02  4,538E+00    3,91 um     2628 A      3455 A   
   1,40 MeV   6,019E+02  4,274E+00    4,08 um     2656 A      3505 A   
   1,50 MeV   6,258E+02  4,042E+00    4,24 um     2680 A      3550 A   
   1,60 MeV   6,483E+02  3,836E+00    4,39 um     2702 A      3592 A   
   1,70 MeV   6,694E+02  3,651E+00    4,54 um     2722 A      3630 A   
   1,80 MeV   6,891E+02  3,485E+00    4,69 um     2741 A      3665 A   
   2,00 MeV   7,245E+02  3,197E+00    4,97 um     2789 A      3728 A   
   2,25 MeV   7,615E+02  2,902E+00    5,30 um     2848 A      3796 A   
   2,50 MeV   7,914E+02  2,660E+00    5,62 um     2901 A      3855 A   
   2,75 MeV   8,153E+02  2,458E+00    5,93 um     2948 A      3908 A   
   3,00 MeV   8,341E+02  2,286E+00    6,23 um     2992 A      3956 A   
   3,25 MeV   8,489E+02  2,139E+00    6,53 um     3033 A      3999 A   
   3,50 MeV   8,603E+02  2,010E+00    6,82 um     3072 A      4040 A   
   3,75 MeV   8,690E+02  1,897E+00    7,11 um     3109 A      4077 A   
   4,00 MeV   8,754E+02  1,797E+00    7,39 um     3145 A      4113 A   
   4,50 MeV   8,831E+02  1,627E+00    7,96 um     3262 A      4179 A   
   5,00 MeV   8,855E+02  1,489E+00    8,52 um     3373 A      4240 A   
   5,50 MeV   8,841E+02  1,373E+00    9,09 um     3480 A      4296 A   
   6,00 MeV   8,796E+02  1,275E+00    9,65 um     3584 A      4350 A   
   6,50 MeV   8,729E+02  1,191E+00   10,22 um     3686 A      4401 A   
   7,00 MeV   8,642E+02  1,118E+00   10,80 um     3786 A      4451 A   
   8,00 MeV   8,431E+02  9,976E-01   11,97 um     4153 A      4546 A   
   9,00 MeV   8,189E+02  9,017E-01   13,17 um     4506 A      4638 A   
  10,00 MeV   7,934E+02  8,236E-01   14,41 um     4853 A      4730 A   
  11,00 MeV   7,678E+02  7,586E-01   15,69 um     5198 A      4821 A   
  12,00 MeV   7,427E+02  7,037E-01   17,01 um     5542 A      4912 A   
  13,00 MeV   7,184E+02  6,565E-01   18,38 um     5887 A      5005 A   
  14,00 MeV   6,952E+02  6,157E-01   19,79 um     6234 A      5100 A   
  15,00 MeV   6,732E+02  5,799E-01   21,25 um     6584 A      5197 A   
  16,00 MeV   6,523E+02  5,482E-01   22,76 um     6938 A      5296 A   
  17,00 MeV   6,325E+02  5,201E-01   24,31 um     7296 A      5398 A   
  18,00 MeV   6,139E+02  4,948E-01   25,92 um     7658 A      5503 A   
  20,00 MeV   5,796E+02  4,513E-01   29,27 um     9037 A      5723 A   
  22,50 MeV   5,419E+02  4,071E-01   33,72 um     1,11 um     6016 A   
  25,00 MeV   5,136E+02  3,712E-01   38,46 um     1,30 um     6332 A   
  27,50 MeV   4,921E+02  3,414E-01   43,43 um     1,48 um     6667 A   
  30,00 MeV   4,674E+02  3,162E-01   48,64 um     1,66 um     7022 A   
  32,50 MeV   4,431E+02  2,947E-01   54,13 um     1,83 um     7399 A   
  35,00 MeV   4,216E+02  2,761E-01   59,91 um     2,01 um     7799 A   
  37,50 MeV   4,025E+02  2,598E-01   65,98 um     2,19 um     8223 A   
  40,00 MeV   3,853E+02  2,454E-01   72,32 um     2,37 um     8670 A   
  45,00 MeV   3,558E+02  2,211E-01   85,82 um     3,05 um     9631 A   
  50,00 MeV   3,311E+02  2,014E-01  100,39 um     3,69 um     1,07 um  
  55,00 MeV   3,102E+02  1,850E-01  115,98 um     4,31 um     1,18 um  
  60,00 MeV   2,921E+02  1,712E-01  132,59 um     4,91 um     1,30 um  
  65,00 MeV   2,762E+02  1,595E-01  150,19 um     5,52 um     1,43 um  
  70,00 MeV   2,622E+02  1,493E-01  168,76 um     6,12 um     1,57 um  
  80,00 MeV   2,382E+02  1,325E-01  208,77 um     8,35 um     1,86 um  
  90,00 MeV   2,184E+02  1,193E-01  252,60 um    10,42 um     2,19 um  
 100,00 MeV   2,016E+02  1,085E-01  300,24 um    12,42 um     2,54 um  
 110,00 MeV   1,872E+02  9,965E-02  351,71 um    14,42 um     2,91 um  
 120,00 MeV   1,745E+02  9,217E-02  407,03 um    16,42 um     3,32 um  
 130,00 MeV   1,633E+02  8,578E-02  466,25 um    18,46 um     3,75 um  
 140,00 MeV   1,534E+02  8,025E-02  529,41 um    20,53 um     4,21 um  
 150,00 MeV   1,445E+02  7,542E-02  596,57 um    22,64 um     4,69 um  
 160,00 MeV   1,364E+02  7,116E-02  667,79 um    24,81 um     5,21 um  
 170,00 MeV   1,291E+02  6,738E-02  743,11 um    27,03 um     5,75 um  
 180,00 MeV   1,225E+02  6,400E-02  822,58 um    29,30 um     6,32 um  
 200,00 MeV   1,111E+02  5,819E-02  993,99 um    38,09 um     7,56 um  
 225,00 MeV   9,939E+01  5,232E-02    1,23 mm    50,91 um     9,27 um  
 250,00 MeV   9,006E+01  4,756E-02    1,50 mm    63,24 um    11,18 um  
 275,00 MeV   8,262E+01  4,363E-02    1,79 mm    75,45 um    13,27 um  
 300,00 MeV   7,674E+01  4,032E-02    2,10 mm    87,64 um    15,54 um  
 325,00 MeV   7,216E+01  3,750E-02    2,44 mm    99,79 um    17,98 um  
 350,00 MeV   6,868E+01  3,506E-02    2,79 mm   111,82 um    20,56 um  
 375,00 MeV   6,533E+01  3,293E-02    3,16 mm   123,76 um    23,26 um  
 400,00 MeV   6,196E+01  3,106E-02    3,56 mm   135,78 um    26,10 um  
 450,00 MeV   5,627E+01  2,790E-02    4,40 mm   181,30 um    32,20 um  
 500,00 MeV   5,164E+01  2,535E-02    5,33 mm   224,03 um    38,85 um  
 550,00 MeV   4,780E+01  2,324E-02    6,34 mm   265,68 um    46,02 um  
 600,00 MeV   4,456E+01  2,147E-02    7,42 mm   306,97 um    53,72 um  
 650,00 MeV   4,179E+01  1,996E-02    8,58 mm   348,27 um    61,92 um  
 700,00 MeV   3,939E+01  1,865E-02    9,81 mm   389,77 um    70,60 um  
 800,00 MeV   3,543E+01  1,651E-02   12,49 mm   544,05 um    89,41 um  
 900,00 MeV   3,231E+01  1,482E-02   15,44 mm   686,78 um   110,04 um  
   1,00 GeV   2,978E+01  1,346E-02   18,67 mm   825,08 um   132,40 um  
   1,10 GeV   2,768E+01  1,233E-02   22,15 mm   961,70 um   156,42 um  
   1,20 GeV   2,592E+01  1,139E-02   25,88 mm     1,10 mm   182,02 um  
   1,30 GeV   2,441E+01  1,058E-02   29,86 mm     1,23 mm   209,14 um  
   1,40 GeV   2,311E+01  9,884E-03   34,07 mm     1,37 mm   237,71 um  
   1,50 GeV   2,198E+01  9,277E-03   38,50 mm     1,51 mm   267,67 um  
   1,60 GeV   2,098E+01  8,743E-03   43,16 mm     1,65 mm   298,96 um  
   1,70 GeV   2,009E+01  8,269E-03   48,03 mm     1,79 mm   331,53 um  
   1,80 GeV   1,930E+01  7,845E-03   53,10 mm     1,93 mm   365,32 um  
   2,00 GeV   1,795E+01  7,120E-03   63,85 mm     2,46 mm   436,40 um  
   2,25 GeV   1,658E+01  6,388E-03   78,34 mm     3,20 mm   531,33 um  
   2,50 GeV   1,548E+01  5,797E-03   93,94 mm     3,89 mm   632,38 um  
   2,75 GeV   1,458E+01  5,309E-03  110,58 mm     4,55 mm   738,98 um  
   3,00 GeV   1,382E+01  4,899E-03  128,18 mm     5,19 mm   850,60 um  
   3,25 GeV   1,318E+01  4,550E-03  146,70 mm     5,82 mm   966,76 um  
   3,50 GeV   1,263E+01  4,249E-03  166,07 mm     6,43 mm     1,09 mm  
   3,75 GeV   1,215E+01  3,986E-03  186,25 mm     7,04 mm     1,21 mm  
   4,00 GeV   1,174E+01  3,756E-03  207,17 mm     7,64 mm     1,34 mm  
   4,50 GeV   1,104E+01  3,368E-03  251,09 mm     9,85 mm     1,60 mm  
   5,00 GeV   1,049E+01  3,055E-03  297,54 mm    11,85 mm     1,88 mm  
   5,50 GeV   1,004E+01  2,797E-03  346,26 mm    13,71 mm     2,16 mm  
   6,00 GeV   9,671E+00  2,580E-03  396,99 mm    15,48 mm     2,45 mm  
   6,50 GeV   9,361E+00  2,395E-03  449,53 mm    17,18 mm     2,74 mm  
   7,00 GeV   9,099E+00  2,236E-03  503,70 mm    18,82 mm     3,04 mm  
   8,00 GeV   8,682E+00  1,975E-03  616,21 mm    24,66 mm     3,64 mm  
   9,00 GeV   8,368E+00  1,771E-03  733,54 mm    29,73 mm     4,25 mm  
  10,00 GeV   8,126E+00  1,606E-03  854,80 mm    34,34 mm     4,86 mm  
  11,00 GeV   7,937E+00  1,469E-03  979,30 mm    38,60 mm     5,47 mm  
  12,00 GeV   7,787E+00  1,355E-03    1,11 m     42,59 mm     6,08 mm  
  13,00 GeV   7,667E+00  1,258E-03    1,24 m     46,37 mm     6,68 mm  
  14,00 GeV   7,570E+00  1,174E-03    1,37 m     49,96 mm     7,28 mm  
  15,00 GeV   7,491E+00  1,101E-03    1,50 m     53,38 mm     7,87 mm  
  16,00 GeV   7,426E+00  1,037E-03    1,63 m     56,66 mm     8,45 mm  
  17,00 GeV   7,374E+00  9,796E-04    1,77 m     59,80 mm     9,02 mm  
  18,00 GeV   7,331E+00  9,288E-04    1,91 m     62,83 mm     9,58 mm  
  20,00 GeV   7,268E+00  8,418E-04    2,18 m     73,83 mm    10,68 mm  
  22,50 GeV   7,221E+00  7,542E-04    2,52 m     88,52 mm    12,00 mm  
  25,00 GeV   7,197E+00  6,835E-04    2,87 m    101,21 mm    13,27 mm  
  27,50 GeV   7,190E+00  6,253E-04    3,22 m    112,53 mm    14,49 mm  
  30,00 GeV   7,193E+00  5,764E-04    3,57 m    122,81 mm    15,66 mm  
  32,50 GeV   7,204E+00  5,349E-04    3,91 m    132,28 mm    16,78 mm  
  35,00 GeV   7,221E+00  4,991E-04    4,26 m    141,08 mm    17,87 mm  
  37,50 GeV   7,241E+00  4,679E-04    4,61 m    149,33 mm    18,91 mm  
  40,00 GeV   7,265E+00  4,404E-04    4,95 m    157,09 mm    19,92 mm  
  45,00 GeV   7,318E+00  3,945E-04    5,64 m    184,63 mm    21,84 mm  
  50,00 GeV   7,374E+00  3,574E-04    6,32 m    208,22 mm    23,64 mm  
  55,00 GeV   7,432E+00  3,268E-04    6,99 m    229,09 mm    25,34 mm  
  60,00 GeV   7,491E+00  3,012E-04    7,66 m    247,93 mm    26,94 mm  
  65,00 GeV   7,548E+00  2,795E-04    8,33 m    265,17 mm    28,47 mm  
  70,00 GeV   7,605E+00  2,607E-04    8,99 m    281,13 mm    29,92 mm  
  80,00 GeV   7,713E+00  2,300E-04   10,29 m    336,35 mm    32,63 mm  
  90,00 GeV   7,815E+00  2,059E-04   11,58 m    382,50 mm    35,13 mm  
 100,00 GeV   7,910E+00  1,865E-04   12,85 m    422,68 mm    37,45 mm  
 110,00 GeV   8,000E+00  1,705E-04   14,11 m    458,55 mm    39,61 mm  
 120,00 GeV   8,084E+00  1,571E-04   15,35 m    491,12 mm    41,65 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  2,0795E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
