 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,00 MeV   4,550E+02  3,348E+01    3,04 um     3350 A      3909 A   
   1,10 MeV   4,899E+02  3,122E+01    3,23 um     3428 A      4051 A   
   1,20 MeV   5,242E+02  2,928E+01    3,42 um     3494 A      4176 A   
   1,30 MeV   5,580E+02  2,759E+01    3,59 um     3551 A      4287 A   
   1,40 MeV   5,915E+02  2,610E+01    3,75 um     3601 A      4386 A   
   1,50 MeV   6,247E+02  2,478E+01    3,91 um     3645 A      4475 A   
   1,60 MeV   6,577E+02  2,360E+01    4,05 um     3684 A      4555 A   
   1,70 MeV   6,904E+02  2,254E+01    4,20 um     3718 A      4628 A   
   1,80 MeV   7,230E+02  2,157E+01    4,33 um     3749 A      4695 A   
   2,00 MeV   7,875E+02  1,990E+01    4,59 um     3811 A      4812 A   
   2,25 MeV   8,668E+02  1,817E+01    4,88 um     3877 A      4934 A   
   2,50 MeV   9,442E+02  1,674E+01    5,15 um     3931 A      5035 A   
   2,75 MeV   1,019E+03  1,553E+01    5,40 um     3976 A      5120 A   
   3,00 MeV   1,092E+03  1,450E+01    5,63 um     4013 A      5194 A   
   3,25 MeV   1,161E+03  1,361E+01    5,85 um     4045 A      5258 A   
   3,50 MeV   1,227E+03  1,284E+01    6,05 um     4073 A      5313 A   
   3,75 MeV   1,289E+03  1,215E+01    6,25 um     4097 A      5363 A   
   4,00 MeV   1,348E+03  1,154E+01    6,43 um     4119 A      5407 A   
   4,50 MeV   1,455E+03  1,050E+01    6,79 um     4171 A      5484 A   
   5,00 MeV   1,548E+03  9,640E+00    7,12 um     4215 A      5548 A   
   5,50 MeV   1,628E+03  8,922E+00    7,43 um     4253 A      5603 A   
