 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- O.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700,00 keV   2,976E+01  2,851E-02   15,26 um     6189 A      6336 A   
 800,00 keV   2,738E+01  2,539E-02   18,75 um     8114 A      7525 A   
 900,00 keV   2,551E+01  2,291E-02   22,52 um     9909 A      8800 A   
   1,00 MeV   2,402E+01  2,090E-02   26,55 um     1,16 um     1,02 um  
   1,10 MeV   2,328E+01  1,923E-02   30,76 um     1,33 um     1,16 um  
   1,20 MeV   2,258E+01  1,782E-02   35,11 um     1,48 um     1,30 um  
   1,30 MeV   2,162E+01  1,662E-02   39,62 um     1,64 um     1,44 um  
   1,40 MeV   2,072E+01  1,557E-02   44,33 um     1,79 um     1,60 um  
   1,50 MeV   1,989E+01  1,465E-02   49,24 um     1,94 um     1,75 um  
   1,60 MeV   1,911E+01  1,384E-02   54,36 um     2,10 um     1,91 um  
   1,70 MeV   1,838E+01  1,313E-02   59,68 um     2,26 um     2,08 um  
   1,80 MeV   1,768E+01  1,248E-02   65,21 um     2,41 um     2,25 um  
   2,00 MeV   1,642E+01  1,137E-02   76,92 um     2,98 um     2,60 um  
   2,25 MeV   1,507E+01  1,025E-02   92,77 um     3,78 um     3,08 um  
   2,50 MeV   1,392E+01  9,334E-03  110,00 um     4,56 um     3,59 um  
   2,75 MeV   1,294E+01  8,577E-03  128,58 um     5,33 um     4,13 um  
   3,00 MeV   1,210E+01  7,939E-03  148,51 um     6,10 um     4,71 um  
   3,25 MeV   1,138E+01  7,394E-03  169,77 um     6,87 um     5,33 um  
   3,50 MeV   1,074E+01  6,922E-03  192,34 um     7,65 um     5,98 um  
   3,75 MeV   1,017E+01  6,509E-03  216,21 um     8,45 um     6,67 um  
   4,00 MeV   9,673E+00  6,145E-03  241,35 um     9,25 um     7,39 um  
   4,50 MeV   8,818E+00  5,531E-03  295,39 um    12,16 um     8,92 um  
   5,00 MeV   8,114E+00  5,034E-03  354,39 um    14,91 um    10,59 um  
   5,50 MeV   7,523E+00  4,622E-03  418,26 um    17,61 um    12,39 um  
   6,00 MeV   7,020E+00  4,275E-03  486,93 um    20,30 um    14,32 um  
   6,50 MeV   6,586E+00  3,979E-03  560,32 um    23,01 um    16,37 um  
   7,00 MeV   6,206E+00  3,723E-03  638,38 um    25,74 um    18,54 um  
   8,00 MeV   5,575E+00  3,302E-03  808,08 um    35,59 um    23,24 um  
   9,00 MeV   5,071E+00  2,969E-03  995,82 um    44,82 um    28,41 um  
  10,00 MeV   4,657E+00  2,700E-03    1,20 mm    53,88 um    34,05 um  
