 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Sodium in  H- O.txt

 Ion = Sodium [11] , Mass = 22,99 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,00 MeV   4,449E+02  2,791E+01    3,11 um     3227 A      3818 A   
   1,10 MeV   4,771E+02  2,600E+01    3,31 um     3302 A      3955 A   
   1,20 MeV   5,091E+02  2,437E+01    3,50 um     3367 A      4076 A   
   1,30 MeV   5,408E+02  2,295E+01    3,68 um     3423 A      4183 A   
   1,40 MeV   5,724E+02  2,170E+01    3,85 um     3472 A      4279 A   
   1,50 MeV   6,039E+02  2,059E+01    4,01 um     3515 A      4366 A   
   1,60 MeV   6,353E+02  1,960E+01    4,16 um     3553 A      4445 A   
   1,70 MeV   6,665E+02  1,871E+01    4,31 um     3587 A      4516 A   
   1,80 MeV   6,977E+02  1,790E+01    4,45 um     3618 A      4581 A   
   2,00 MeV   7,595E+02  1,650E+01    4,72 um     3680 A      4695 A   
   2,25 MeV   8,356E+02  1,505E+01    5,02 um     3747 A      4814 A   
   2,50 MeV   9,097E+02  1,386E+01    5,30 um     3801 A      4913 A   
   2,75 MeV   9,812E+02  1,286E+01    5,56 um     3847 A      4997 A   
   3,00 MeV   1,050E+03  1,200E+01    5,80 um     3885 A      5069 A   
   3,25 MeV   1,115E+03  1,126E+01    6,03 um     3917 A      5131 A   
   3,50 MeV   1,177E+03  1,061E+01    6,24 um     3946 A      5186 A   
   3,75 MeV   1,234E+03  1,004E+01    6,45 um     3971 A      5235 A   
   4,00 MeV   1,288E+03  9,530E+00    6,64 um     3993 A      5279 A   
   4,50 MeV   1,385E+03  8,665E+00    7,01 um     4049 A      5355 A   
   5,00 MeV   1,467E+03  7,954E+00    7,36 um     4096 A      5418 A   
   5,50 MeV   1,538E+03  7,359E+00    7,69 um     4137 A      5473 A   
   6,00 MeV   1,597E+03  6,853E+00    8,01 um     4174 A      5521 A   
   6,50 MeV   1,647E+03  6,417E+00    8,31 um     4208 A      5564 A   
   7,00 MeV   1,689E+03  6,037E+00    8,61 um     4239 A      5602 A   
   8,00 MeV   1,754E+03  5,405E+00    9,19 um     4334 A      5670 A   
   9,00 MeV   1,800E+03  4,901E+00    9,75 um     4420 A      5728 A   
  10,00 MeV   1,832E+03  4,489E+00   10,30 um     4500 A      5780 A   
  11,00 MeV   1,851E+03  4,145E+00   10,84 um     4576 A      5827 A   
  12,00 MeV   1,862E+03  3,853E+00   11,38 um     4649 A      5870 A   
  13,00 MeV   1,865E+03  3,602E+00   11,91 um     4719 A      5910 A   
  14,00 MeV   1,862E+03  3,384E+00   12,45 um     4788 A      5947 A   
  15,00 MeV   1,855E+03  3,192E+00   12,98 um     4857 A      5983 A   
  16,00 MeV   1,843E+03  3,022E+00   13,52 um     4924 A      6017 A   
  17,00 MeV   1,829E+03  2,871E+00   14,07 um     4992 A      6051 A   
  18,00 MeV   1,813E+03  2,735E+00   14,62 um     5059 A      6083 A   
  20,00 MeV   1,775E+03  2,500E+00   15,73 um     5312 A      6145 A   
  22,50 MeV   1,725E+03  2,261E+00   17,15 um     5698 A      6219 A   
  25,00 MeV   1,673E+03  2,066E+00   18,62 um     6080 A      6292 A   
  27,50 MeV   1,621E+03  1,903E+00   20,14 um     6462 A      6365 A   
  30,00 MeV   1,572E+03  1,766E+00   21,70 um     6844 A      6437 A   
  32,50 MeV   1,524E+03  1,648E+00   23,32 um     7228 A      6510 A   
  35,00 MeV   1,480E+03  1,546E+00   24,98 um     7614 A      6583 A   
  37,50 MeV   1,437E+03  1,457E+00   26,69 um     8003 A      6658 A   
  40,00 MeV   1,398E+03  1,377E+00   28,45 um     8396 A      6735 A   
  45,00 MeV   1,325E+03  1,244E+00   32,13 um     9895 A      6893 A   
  50,00 MeV   1,283E+03  1,135E+00   35,96 um     1,13 um     7058 A   
  55,00 MeV   1,239E+03  1,044E+00   39,92 um     1,26 um     7230 A   
  60,00 MeV   1,184E+03  9,678E-01   44,05 um     1,39 um     7409 A   
  65,00 MeV   1,135E+03  9,024E-01   48,36 um     1,52 um     7598 A   
  70,00 MeV   1,091E+03  8,457E-01   52,85 um     1,65 um     7797 A   
  80,00 MeV   1,016E+03  7,522E-01   62,34 um     2,13 um     8225 A   
  90,00 MeV   9,542E+02  6,782E-01   72,50 um     2,58 um     8693 A   
 100,00 MeV   9,019E+02  6,181E-01   83,27 um     3,00 um     9200 A   
 110,00 MeV   8,568E+02  5,683E-01   94,64 um     3,40 um     9746 A   
 120,00 MeV   8,171E+02  5,262E-01  106,59 um     3,80 um     1,03 um  
 130,00 MeV   7,818E+02  4,902E-01  119,09 um     4,20 um     1,09 um  
 140,00 MeV   7,500E+02  4,591E-01  132,15 um     4,59 um     1,16 um  
 150,00 MeV   7,210E+02  4,318E-01  145,74 um     4,98 um     1,23 um  
 160,00 MeV   6,945E+02  4,078E-01  159,87 um     5,37 um     1,30 um  
 170,00 MeV   6,699E+02  3,864E-01  174,52 um     5,76 um     1,38 um  
 180,00 MeV   6,470E+02  3,673E-01  189,70 um     6,15 um     1,45 um  
 200,00 MeV   6,056E+02  3,344E-01  221,65 um     7,64 um     1,62 um  
 225,00 MeV   5,603E+02  3,011E-01  264,56 um     9,77 um     1,84 um  
 250,00 MeV   5,207E+02  2,740E-01  310,84 um    11,77 um     2,08 um  
 275,00 MeV   4,856E+02  2,517E-01  360,55 um    13,72 um     2,33 um  
 300,00 MeV   4,544E+02  2,328E-01  413,76 um    15,66 um     2,61 um  
 325,00 MeV   4,265E+02  2,167E-01  470,54 um    17,61 um     2,90 um  
 350,00 MeV   4,014E+02  2,028E-01  530,95 um    19,58 um     3,21 um  
 375,00 MeV   3,789E+02  1,906E-01  595,04 um    21,59 um     3,54 um  
 400,00 MeV   3,586E+02  1,798E-01  662,85 um    23,64 um     3,89 um  
 450,00 MeV   3,239E+02  1,618E-01  809,55 um    31,48 um     4,64 um  
 500,00 MeV   2,960E+02  1,471E-01  971,02 um    38,92 um     5,46 um  
 550,00 MeV   2,737E+02  1,350E-01    1,15 mm    46,21 um     6,36 um  
 600,00 MeV   2,562E+02  1,248E-01    1,34 mm    53,40 um     7,32 um  
 650,00 MeV   2,428E+02  1,161E-01    1,54 mm    60,49 um     8,35 um  
 700,00 MeV   2,319E+02  1,086E-01    1,75 mm    67,46 um     9,42 um  
 800,00 MeV   2,082E+02  9,624E-02    2,20 mm    93,33 um    11,73 um  
 900,00 MeV   1,893E+02  8,650E-02    2,71 mm   117,49 um    14,26 um  
   1,00 GeV   1,739E+02  7,861E-02    3,26 mm   141,08 um    17,01 um  
   1,10 GeV   1,611E+02  7,210E-02    3,85 mm   164,53 um    19,98 um  
   1,20 GeV   1,503E+02  6,662E-02    4,50 mm   188,06 um    23,16 um  
   1,30 GeV   1,410E+02  6,194E-02    5,18 mm   211,76 um    26,54 um  
   1,40 GeV   1,330E+02  5,790E-02    5,91 mm   235,70 um    30,12 um  
   1,50 GeV   1,259E+02  5,438E-02    6,69 mm   259,91 um    33,90 um  
   1,60 GeV   1,197E+02  5,127E-02    7,50 mm   284,39 um    37,86 um  
   1,70 GeV   1,142E+02  4,852E-02    8,36 mm   309,15 um    42,01 um  
   1,80 GeV   1,093E+02  4,605E-02    9,25 mm   334,19 um    46,34 um  
   2,00 GeV   1,008E+02  4,183E-02   11,16 mm   429,65 um    55,53 um  
   2,25 GeV   9,215E+01  3,756E-02   13,75 mm   565,37 um    67,97 um  
   2,50 GeV   8,517E+01  3,411E-02   16,57 mm   692,40 um    81,40 um  
   2,75 GeV   7,941E+01  3,126E-02   19,61 mm   815,37 um    95,77 um  
   3,00 GeV   7,455E+01  2,887E-02   22,86 mm   936,31 um   111,03 um  
   3,25 GeV   7,042E+01  2,683E-02   26,31 mm     1,06 mm   127,13 um  
   3,50 GeV   6,685E+01  2,507E-02   29,96 mm     1,18 mm   144,02 um  
   3,75 GeV   6,374E+01  2,353E-02   33,79 mm     1,29 mm   161,68 um  
   4,00 GeV   6,100E+01  2,217E-02   37,80 mm     1,41 mm   180,05 um  
   4,50 GeV   5,641E+01  1,990E-02   46,32 mm     1,86 mm   218,81 um  
   5,00 GeV   5,271E+01  1,806E-02   55,49 mm     2,27 mm   260,04 um  
   5,50 GeV   4,968E+01  1,655E-02   65,26 mm     2,66 mm   303,48 um  
   6,00 GeV   4,713E+01  1,527E-02   75,59 mm     3,03 mm   348,91 um  
   6,50 GeV   4,498E+01  1,419E-02   86,45 mm     3,40 mm   396,16 um  
   7,00 GeV   4,313E+01  1,325E-02   97,80 mm     3,76 mm   445,03 um  
   8,00 GeV   4,013E+01  1,172E-02  121,84 mm     5,07 mm   547,08 um  
   9,00 GeV   3,781E+01  1,051E-02  147,51 mm     6,24 mm   653,92 um  
  10,00 GeV   3,596E+01  9,536E-03  174,64 mm     7,33 mm   764,63 um  
  11,00 GeV   3,446E+01  8,732E-03  203,04 mm     8,36 mm   878,45 um  
  12,00 GeV   3,322E+01  8,057E-03  232,60 mm     9,35 mm   994,74 um  
  13,00 GeV   3,219E+01  7,482E-03  263,18 mm    10,30 mm     1,11 mm  
  14,00 GeV   3,131E+01  6,986E-03  294,68 mm    11,22 mm     1,23 mm  
  15,00 GeV   3,057E+01  6,553E-03  326,99 mm    12,12 mm     1,35 mm  
  16,00 GeV   2,993E+01  6,173E-03  360,05 mm    12,99 mm     1,48 mm  
  17,00 GeV   2,937E+01  5,836E-03  393,78 mm    13,84 mm     1,60 mm  
  18,00 GeV   2,889E+01  5,535E-03  428,11 mm    14,67 mm     1,72 mm  
  20,00 GeV   2,809E+01  5,019E-03  498,31 mm    17,72 mm     1,96 mm  
  22,50 GeV   2,733E+01  4,500E-03  588,53 mm    21,84 mm     2,27 mm  
  25,00 GeV   2,677E+01  4,080E-03  680,95 mm    25,46 mm     2,57 mm  
  27,50 GeV   2,634E+01  3,735E-03  775,08 mm    28,73 mm     2,87 mm  
