 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in  H- O.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,00 MeV   5,055E+02  1,689E+01    2,94 um     2690 A      3289 A   
   1,10 MeV   5,376E+02  1,571E+01    3,13 um     2743 A      3385 A   
   1,20 MeV   5,698E+02  1,470E+01    3,30 um     2789 A      3471 A   
   1,30 MeV   6,021E+02  1,382E+01    3,47 um     2829 A      3547 A   
   1,40 MeV   6,344E+02  1,305E+01    3,62 um     2864 A      3615 A   
   1,50 MeV   6,667E+02  1,236E+01    3,77 um     2895 A      3676 A   
   1,60 MeV   6,989E+02  1,176E+01    3,91 um     2922 A      3732 A   
   1,70 MeV   7,309E+02  1,121E+01    4,05 um     2947 A      3783 A   
   1,80 MeV   7,625E+02  1,072E+01    4,18 um     2969 A      3829 A   
   2,00 MeV   8,245E+02  9,860E+00    4,43 um     3018 A      3911 A   
   2,25 MeV   8,986E+02  8,979E+00    4,71 um     3072 A      3997 A   
   2,50 MeV   9,681E+02  8,253E+00    4,98 um     3118 A      4069 A   
   2,75 MeV   1,032E+03  7,644E+00    5,22 um     3156 A      4130 A   
   3,00 MeV   1,091E+03  7,126E+00    5,46 um     3189 A      4184 A   
   3,25 MeV   1,143E+03  6,679E+00    5,68 um     3218 A      4231 A   
   3,50 MeV   1,190E+03  6,288E+00    5,89 um     3244 A      4272 A   
   3,75 MeV   1,232E+03  5,944E+00    6,10 um     3267 A      4310 A   
   4,00 MeV   1,269E+03  5,639E+00    6,29 um     3289 A      4345 A   
   4,50 MeV   1,328E+03  5,119E+00    6,68 um     3349 A      4406 A   
   5,00 MeV   1,374E+03  4,693E+00    7,04 um     3404 A      4459 A   
   5,50 MeV   1,407E+03  4,337E+00    7,40 um     3453 A      4506 A   
