 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in  H- O.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,00 MeV   4,484E+02  4,210E+01    2,77 um     3014 A      3452 A   
   1,10 MeV   4,795E+02  3,931E+01    2,97 um     3100 A      3600 A   
   1,20 MeV   5,100E+02  3,690E+01    3,15 um     3175 A      3732 A   
   1,30 MeV   5,399E+02  3,480E+01    3,33 um     3240 A      3850 A   
   1,40 MeV   5,694E+02  3,294E+01    3,49 um     3298 A      3957 A   
   1,50 MeV   5,986E+02  3,130E+01    3,65 um     3349 A      4055 A   
   1,60 MeV   6,276E+02  2,983E+01    3,81 um     3395 A      4143 A   
   1,70 MeV   6,564E+02  2,850E+01    3,95 um     3436 A      4225 A   
   1,80 MeV   6,851E+02  2,730E+01    4,09 um     3474 A      4300 A   
   2,00 MeV   7,423E+02  2,521E+01    4,36 um     3548 A      4433 A   
   2,25 MeV   8,132E+02  2,304E+01    4,67 um     3629 A      4574 A   
   2,50 MeV   8,834E+02  2,124E+01    4,95 um     3696 A      4692 A   
   2,75 MeV   9,527E+02  1,973E+01    5,22 um     3751 A      4794 A   
   3,00 MeV   1,021E+03  1,844E+01    5,46 um     3798 A      4881 A   
   3,25 MeV   1,087E+03  1,732E+01    5,70 um     3838 A      4957 A   
   3,50 MeV   1,152E+03  1,634E+01    5,92 um     3872 A      5025 A   
   3,75 MeV   1,214E+03  1,547E+01    6,12 um     3903 A      5084 A   
   4,00 MeV   1,274E+03  1,470E+01    6,32 um     3929 A      5138 A   
   4,50 MeV   1,387E+03  1,338E+01    6,69 um     3992 A      5230 A   
   5,00 MeV   1,489E+03  1,230E+01    7,03 um     4044 A      5307 A   
   5,50 MeV   1,581E+03  1,139E+01    7,36 um     4088 A      5372 A   
   6,00 MeV   1,663E+03  1,062E+01    7,66 um     4127 A      5429 A   
   6,50 MeV   1,735E+03  9,950E+00    7,95 um     4161 A      5479 A   
   7,00 MeV   1,800E+03  9,368E+00    8,23 um     4192 A      5523 A   
   8,00 MeV   1,908E+03  8,399E+00    8,77 um     4280 A      5600 A   
   9,00 MeV   1,993E+03  7,624E+00    9,28 um     4357 A      5665 A   
  10,00 MeV   2,061E+03  6,990E+00    9,77 um     4426 A      5721 A   
  11,00 MeV   2,113E+03  6,459E+00   10,25 um     4489 A      5771 A   
  12,00 MeV   2,154E+03  6,008E+00   10,71 um     4548 A      5816 A   
  13,00 MeV   2,185E+03  5,621E+00   11,17 um     4604 A      5857 A   
  14,00 MeV   2,206E+03  5,283E+00   11,62 um     4658 A      5894 A   
  15,00 MeV   2,221E+03  4,987E+00   12,08 um     4709 A      5930 A   
  16,00 MeV   2,229E+03  4,724E+00   12,52 um     4760 A      5963 A   
  17,00 MeV   2,232E+03  4,489E+00   12,97 um     4809 A      5995 A   
  18,00 MeV   2,231E+03  4,278E+00   13,42 um     4857 A      6025 A   
  20,00 MeV   2,218E+03  3,914E+00   14,31 um     5033 A      6082 A   
  22,50 MeV   2,188E+03  3,542E+00   15,45 um     5296 A      6148 A   
  25,00 MeV   2,149E+03  3,239E+00   16,60 um     5554 A      6211 A   
  27,50 MeV   2,106E+03  2,986E+00   17,77 um     5809 A      6271 A   
  30,00 MeV   2,060E+03  2,772E+00   18,97 um     6063 A      6330 A   
  32,50 MeV   2,013E+03  2,589E+00   20,19 um     6318 A      6388 A   
  35,00 MeV   1,967E+03  2,429E+00   21,45 um     6573 A      6445 A   
  37,50 MeV   1,923E+03  2,290E+00   22,73 um     6830 A      6502 A   
  40,00 MeV   1,879E+03  2,166E+00   24,05 um     7089 A      6560 A   
  45,00 MeV   1,798E+03  1,957E+00   26,76 um     8084 A      6675 A   
  50,00 MeV   1,723E+03  1,787E+00   29,60 um     9044 A      6793 A   
  55,00 MeV   1,662E+03  1,645E+00   32,55 um     9979 A      6915 A   
  60,00 MeV   1,627E+03  1,525E+00   35,59 um     1,09 um     7039 A   
  65,00 MeV   1,582E+03  1,423E+00   38,70 um     1,18 um     7166 A   
  70,00 MeV   1,526E+03  1,334E+00   41,92 um     1,26 um     7298 A   
  80,00 MeV   1,430E+03  1,187E+00   48,68 um     1,59 um     7575 A   
  90,00 MeV   1,350E+03  1,071E+00   55,88 um     1,89 um     7873 A   
 100,00 MeV   1,282E+03  9,766E-01   63,48 um     2,17 um     8192 A   
 110,00 MeV   1,224E+03  8,982E-01   71,46 um     2,45 um     8532 A   
 120,00 MeV   1,173E+03  8,321E-01   79,80 um     2,72 um     8893 A   
 130,00 MeV   1,127E+03  7,755E-01   88,49 um     2,99 um     9275 A   
 140,00 MeV   1,087E+03  7,264E-01   97,52 um     3,26 um     9676 A   
 150,00 MeV   1,050E+03  6,835E-01  106,88 um     3,52 um     1,01 um  
 160,00 MeV   1,016E+03  6,456E-01  116,56 um     3,78 um     1,05 um  
 170,00 MeV   9,841E+02  6,119E-01  126,56 um     4,04 um     1,10 um  
 180,00 MeV   9,548E+02  5,817E-01  136,87 um     4,29 um     1,15 um  
 200,00 MeV   9,015E+02  5,299E-01  158,42 um     5,27 um     1,25 um  
