 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   4,183E+02  4,084E+00    3,52 um     2516 A      3294 A   
   1,00 MeV   4,443E+02  3,753E+00    3,75 um     2565 A      3374 A   
   1,10 MeV   4,688E+02  3,475E+00    3,96 um     2606 A      3444 A   
   1,20 MeV   4,916E+02  3,238E+00    4,17 um     2643 A      3506 A   
   1,30 MeV   5,129E+02  3,034E+00    4,36 um     2676 A      3562 A   
   1,40 MeV   5,327E+02  2,856E+00    4,55 um     2705 A      3612 A   
   1,50 MeV   5,509E+02  2,699E+00    4,74 um     2731 A      3658 A   
   1,60 MeV   5,676E+02  2,560E+00    4,91 um     2756 A      3699 A   
   1,70 MeV   5,829E+02  2,436E+00    5,09 um     2778 A      3738 A   
   1,80 MeV   5,968E+02  2,323E+00    5,25 um     2799 A      3774 A   
   2,00 MeV   6,209E+02  2,130E+00    5,58 um     2856 A      3839 A   
   2,25 MeV   6,448E+02  1,931E+00    5,97 um     2930 A      3910 A   
   2,50 MeV   6,629E+02  1,769E+00    6,35 um     2996 A      3973 A   
   2,75 MeV   6,763E+02  1,633E+00    6,72 um     3057 A      4030 A   
   3,00 MeV   6,862E+02  1,518E+00    7,09 um     3115 A      4082 A   
   3,25 MeV   6,932E+02  1,420E+00    7,45 um     3169 A      4131 A   
   3,50 MeV   6,979E+02  1,334E+00    7,81 um     3221 A      4176 A   
   3,75 MeV   7,009E+02  1,258E+00    8,17 um     3271 A      4219 A   
   4,00 MeV   7,025E+02  1,191E+00    8,52 um     3320 A      4259 A   
   4,50 MeV   7,025E+02  1,078E+00    9,23 um     3488 A      4336 A   
   5,00 MeV   6,992E+02  9,855E-01    9,94 um     3647 A      4408 A   
   5,50 MeV   6,934E+02  9,086E-01   10,66 um     3802 A      4475 A   
   6,00 MeV   6,857E+02  8,434E-01   11,38 um     3952 A      4541 A   
   6,50 MeV   6,766E+02  7,875E-01   12,11 um     4100 A      4604 A   
   7,00 MeV   6,665E+02  7,389E-01   12,86 um     4247 A      4666 A   
   8,00 MeV   6,441E+02  6,587E-01   14,38 um     4787 A      4787 A   
   9,00 MeV   6,205E+02  5,950E-01   15,96 um     5306 A      4907 A   
  10,00 MeV   5,969E+02  5,432E-01   17,60 um     5813 A      5027 A   
  11,00 MeV   5,739E+02  5,001E-01   19,31 um     6316 A      5150 A   
  12,00 MeV   5,518E+02  4,637E-01   21,09 um     6818 A      5275 A   
  13,00 MeV   5,309E+02  4,325E-01   22,93 um     7321 A      5403 A   
  14,00 MeV   5,112E+02  4,054E-01   24,85 um     7829 A      5536 A   
  15,00 MeV   4,926E+02  3,817E-01   26,84 um     8341 A      5673 A   
  16,00 MeV   4,752E+02  3,608E-01   28,90 um     8859 A      5815 A   
  17,00 MeV   4,589E+02  3,422E-01   31,04 um     9383 A      5962 A   
  18,00 MeV   4,435E+02  3,255E-01   33,26 um     9915 A      6115 A   
  20,00 MeV   4,157E+02  2,967E-01   37,91 um     1,19 um     6438 A   
  22,50 MeV   3,873E+02  2,676E-01   44,14 um     1,49 um     6875 A   
  25,00 MeV   3,677E+02  2,439E-01   50,76 um     1,76 um     7347 A   
  27,50 MeV   3,459E+02  2,242E-01   57,77 um     2,03 um     7852 A   
  30,00 MeV   3,247E+02  2,076E-01   65,23 um     2,29 um     8395 A   
  32,50 MeV   3,062E+02  1,934E-01   73,15 um     2,55 um     8977 A   
  35,00 MeV   2,900E+02  1,811E-01   81,54 um     2,82 um     9598 A   
  37,50 MeV   2,756E+02  1,704E-01   90,38 um     3,09 um     1,03 um  
  40,00 MeV   2,628E+02  1,609E-01   99,66 um     3,37 um     1,10 um  
  45,00 MeV   2,408E+02  1,449E-01  119,53 um     4,39 um     1,25 um  
  50,00 MeV   2,227E+02  1,320E-01  141,12 um     5,36 um     1,41 um  
  55,00 MeV   2,075E+02  1,212E-01  164,37 um     6,30 um     1,59 um  
  60,00 MeV   1,945E+02  1,122E-01  189,25 um     7,23 um     1,78 um  
  65,00 MeV   1,831E+02  1,044E-01  215,73 um     8,15 um     1,99 um  
  70,00 MeV   1,732E+02  9,773E-02  243,80 um     9,08 um     2,21 um  
  80,00 MeV   1,564E+02  8,672E-02  304,56 um    12,53 um     2,68 um  
  90,00 MeV   1,427E+02  7,803E-02  371,49 um    15,73 um     3,20 um  
 100,00 MeV   1,312E+02  7,099E-02  444,57 um    18,85 um     3,76 um  
 110,00 MeV   1,214E+02  6,516E-02  523,80 um    21,96 um     4,37 um  
 120,00 MeV   1,129E+02  6,025E-02  609,22 um    25,09 um     5,03 um  
 130,00 MeV   1,054E+02  5,606E-02  700,89 um    28,28 um     5,73 um  
 140,00 MeV   9,875E+01  5,244E-02  798,90 um    31,53 um     6,48 um  
 150,00 MeV   9,284E+01  4,927E-02  903,31 um    34,86 um     7,27 um  
