 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   4,673E+02  1,291E+01    2,93 um     2636 A      3262 A   
   1,00 MeV   5,036E+02  1,191E+01    3,13 um     2693 A      3367 A   
   1,10 MeV   5,393E+02  1,106E+01    3,32 um     2742 A      3457 A   
   1,20 MeV   5,744E+02  1,033E+01    3,49 um     2783 A      3537 A   
   1,30 MeV   6,088E+02  9,706E+00    3,66 um     2819 A      3607 A   
   1,40 MeV   6,425E+02  9,156E+00    3,81 um     2850 A      3670 A   
   1,50 MeV   6,754E+02  8,671E+00    3,96 um     2878 A      3726 A   
   1,60 MeV   7,075E+02  8,239E+00    4,10 um     2902 A      3776 A   
   1,70 MeV   7,385E+02  7,851E+00    4,24 um     2924 A      3822 A   
   1,80 MeV   7,685E+02  7,501E+00    4,37 um     2944 A      3864 A   
   2,00 MeV   8,253E+02  6,894E+00    4,61 um     2988 A      3938 A   
   2,25 MeV   8,899E+02  6,271E+00    4,90 um     3040 A      4015 A   
   2,50 MeV   9,473E+02  5,758E+00    5,17 um     3084 A      4081 A   
   2,75 MeV   9,975E+02  5,329E+00    5,43 um     3121 A      4137 A   
   3,00 MeV   1,041E+03  4,964E+00    5,67 um     3154 A      4187 A   
   3,25 MeV   1,079E+03  4,649E+00    5,90 um     3184 A      4231 A   
   3,50 MeV   1,111E+03  4,374E+00    6,13 um     3211 A      4271 A   
   3,75 MeV   1,138E+03  4,133E+00    6,35 um     3237 A      4308 A   
   4,00 MeV   1,161E+03  3,918E+00    6,57 um     3260 A      4341 A   
   4,50 MeV   1,197E+03  3,554E+00    6,99 um     3330 A      4402 A   
   5,00 MeV   1,222E+03  3,256E+00    7,40 um     3395 A      4455 A   
   5,50 MeV   1,239E+03  3,007E+00    7,81 um     3455 A      4503 A   
   6,00 MeV   1,251E+03  2,796E+00    8,21 um     3512 A      4547 A   
   6,50 MeV   1,258E+03  2,614E+00    8,60 um     3567 A      4588 A   
   7,00 MeV   1,261E+03  2,456E+00    9,00 um     3621 A      4627 A   
   8,00 MeV   1,259E+03  2,194E+00    9,79 um     3807 A      4698 A   
   9,00 MeV   1,249E+03  1,986E+00   10,59 um     3985 A      4764 A   
  10,00 MeV   1,234E+03  1,816E+00   11,39 um     4159 A      4826 A   
  11,00 MeV   1,214E+03  1,674E+00   12,20 um     4329 A      4885 A   
  12,00 MeV   1,193E+03  1,555E+00   13,03 um     4498 A      4942 A   
