 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- O.txt

 Ion = Beryllium [4] , Mass = 9,012 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   3,463E+02  2,293E+00    4,57 um     3319 A      4428 A   
   1,00 MeV   3,696E+02  2,104E+00    4,84 um     3369 A      4512 A   
   1,10 MeV   3,912E+02  1,946E+00    5,10 um     3412 A      4585 A   
   1,20 MeV   4,111E+02  1,812E+00    5,35 um     3449 A      4649 A   
   1,30 MeV   4,291E+02  1,696E+00    5,59 um     3482 A      4705 A   
   1,40 MeV   4,454E+02  1,595E+00    5,81 um     3512 A      4757 A   
   1,50 MeV   4,600E+02  1,506E+00    6,03 um     3539 A      4803 A   
   1,60 MeV   4,729E+02  1,428E+00    6,25 um     3564 A      4845 A   
   1,70 MeV   4,843E+02  1,357E+00    6,45 um     3587 A      4885 A   
   1,80 MeV   4,942E+02  1,294E+00    6,66 um     3609 A      4921 A   
   2,00 MeV   5,102E+02  1,185E+00    7,05 um     3670 A      4988 A   
   2,25 MeV   5,241E+02  1,073E+00    7,53 um     3752 A      5061 A   
   2,50 MeV   5,329E+02  9,819E-01    8,01 um     3828 A      5126 A   
   2,75 MeV   5,378E+02  9,059E-01    8,47 um     3900 A      5186 A   
   3,00 MeV   5,399E+02  8,414E-01    8,93 um     3968 A      5241 A   
   3,25 MeV   5,398E+02  7,861E-01    9,39 um     4035 A      5293 A   
   3,50 MeV   5,382E+02  7,380E-01    9,86 um     4100 A      5342 A   
   3,75 MeV   5,353E+02  6,959E-01   10,32 um     4164 A      5389 A   
   4,00 MeV   5,314E+02  6,585E-01   10,79 um     4228 A      5434 A   
   4,50 MeV   5,216E+02  5,953E-01   11,74 um     4456 A      5521 A   
   5,00 MeV   5,099E+02  5,438E-01   12,71 um     4681 A      5605 A   
   5,50 MeV   4,970E+02  5,010E-01   13,70 um     4905 A      5686 A   
   6,00 MeV   4,835E+02  4,648E-01   14,72 um     5131 A      5766 A   
   6,50 MeV   4,698E+02  4,337E-01   15,76 um     5358 A      5846 A   
   7,00 MeV   4,562E+02  4,068E-01   16,84 um     5589 A      5927 A   
   8,00 MeV   4,299E+02  3,623E-01   19,10 um     6467 A      6090 A   
   9,00 MeV   4,055E+02  3,270E-01   21,49 um     7330 A      6259 A   
  10,00 MeV   3,832E+02  2,983E-01   24,02 um     8189 A      6437 A   
  11,00 MeV   3,629E+02  2,745E-01   26,70 um     9054 A      6624 A   
  12,00 MeV   3,445E+02  2,544E-01   29,53 um     9928 A      6822 A   
  13,00 MeV   3,278E+02  2,371E-01   32,50 um     1,08 um     7031 A   
  14,00 MeV   3,126E+02  2,222E-01   35,63 um     1,17 um     7253 A   
  15,00 MeV   2,987E+02  2,091E-01   38,90 um     1,26 um     7488 A   
  16,00 MeV   2,861E+02  1,976E-01   42,32 um     1,36 um     7737 A   
  17,00 MeV   2,745E+02  1,873E-01   45,88 um     1,45 um     7999 A   
  18,00 MeV   2,639E+02  1,781E-01   49,59 um     1,55 um     8276 A   
  20,00 MeV   2,501E+02  1,623E-01   57,37 um     1,90 um     8867 A   
  22,50 MeV   2,315E+02  1,463E-01   67,76 um     2,41 um     9675 A   
  25,00 MeV   2,137E+02  1,332E-01   79,00 um     2,90 um     1,06 um  
  27,50 MeV   1,988E+02  1,224E-01   91,12 um     3,37 um     1,15 um  
  30,00 MeV   1,860E+02  1,133E-01  104,12 um     3,85 um     1,26 um  
  32,50 MeV   1,750E+02  1,055E-01  117,97 um     4,33 um     1,37 um  
  35,00 MeV   1,654E+02  9,881E-02  132,66 um     4,81 um     1,50 um  
  37,50 MeV   1,569E+02  9,292E-02  148,17 um     5,30 um     1,63 um  
  40,00 MeV   1,493E+02  8,772E-02  164,50 um     5,79 um     1,77 um  
  45,00 MeV   1,364E+02  7,896E-02  199,52 um     7,64 um     2,06 um  
  50,00 MeV   1,257E+02  7,186E-02  237,70 um     9,37 um     2,39 um  
  55,00 MeV   1,166E+02  6,599E-02  278,98 um    11,06 um     2,75 um  
  60,00 MeV   1,089E+02  6,104E-02  323,33 um    12,74 um     3,13 um  
  65,00 MeV   1,021E+02  5,681E-02  370,74 um    14,42 um     3,53 um  
  70,00 MeV   9,612E+01  5,315E-02  421,19 um    16,12 um     3,97 um  
  80,00 MeV   8,604E+01  4,714E-02  531,13 um    22,44 um     4,91 um  
  90,00 MeV   7,783E+01  4,239E-02  653,31 um    28,38 um     5,96 um  
 100,00 MeV   7,100E+01  3,855E-02  787,81 um    34,22 um     7,10 um  
 110,00 MeV   6,522E+01  3,538E-02  934,73 um    40,10 um     8,36 um  
 120,00 MeV   6,029E+01  3,270E-02    1,09 mm    46,07 um     9,71 um  
 130,00 MeV   5,602E+01  3,042E-02    1,27 mm    52,17 um    11,18 um  
 140,00 MeV   5,230E+01  2,845E-02    1,45 mm    58,42 um    12,74 um  
 150,00 MeV   4,905E+01  2,672E-02    1,65 mm    64,84 um    14,42 um  
 160,00 MeV   4,619E+01  2,520E-02    1,86 mm    71,41 um    16,21 um  
 170,00 MeV   4,366E+01  2,386E-02    2,08 mm    78,14 um    18,10 um  
 180,00 MeV   4,142E+01  2,265E-02    2,32 mm    85,03 um    20,10 um  
 200,00 MeV   3,767E+01  2,058E-02    2,82 mm   111,38 um    24,42 um  
 225,00 MeV   3,406E+01  1,850E-02    3,52 mm   149,09 um    30,38 um  
 250,00 MeV   3,137E+01  1,680E-02    4,28 mm   184,47 um    36,92 um  
 275,00 MeV   2,930E+01  1,541E-02    5,11 mm   218,52 um    43,97 um  
 300,00 MeV   2,727E+01  1,423E-02    5,99 mm   252,10 um    51,51 um  
 325,00 MeV   2,554E+01  1,323E-02    6,94 mm   285,82 um    59,55 um  
 350,00 MeV   2,403E+01  1,237E-02    7,95 mm   319,83 um    68,09 um  
 375,00 MeV   2,272E+01  1,161E-02    9,02 mm   354,20 um    77,12 um  
 400,00 MeV   2,156E+01  1,095E-02   10,15 mm   388,98 um    86,62 um  
 450,00 MeV   1,960E+01  9,828E-03   12,58 mm   520,14 um   107,04 um  
 500,00 MeV   1,801E+01  8,925E-03   15,24 mm   642,94 um   129,27 um  
 550,00 MeV   1,669E+01  8,179E-03   18,13 mm   762,35 um   153,24 um  
 600,00 MeV   1,558E+01  7,552E-03   21,23 mm   880,50 um   178,90 um  
 650,00 MeV   1,463E+01  7,018E-03   24,54 mm   998,41 um   206,19 um  
 700,00 MeV   1,381E+01  6,556E-03   28,06 mm     1,12 mm   235,06 um  
 800,00 MeV   1,246E+01  5,800E-03   35,68 mm     1,55 mm   297,35 um  
 900,00 MeV   1,139E+01  5,204E-03   44,08 mm     1,96 mm   365,41 um  
   1,00 GeV   1,053E+01  4,724E-03   53,21 mm     2,35 mm   438,88 um  
   1,10 GeV   9,817E+00  4,327E-03   63,04 mm     2,73 mm   517,47 um  
   1,20 GeV   9,219E+00  3,994E-03   73,55 mm     3,11 mm   600,88 um  
   1,30 GeV   8,709E+00  3,710E-03   84,71 mm     3,49 mm   688,85 um  
   1,40 GeV   8,269E+00  3,465E-03   96,49 mm     3,87 mm   781,13 um  
   1,50 GeV   7,886E+00  3,251E-03  108,87 mm     4,25 mm   877,50 um  
   1,60 GeV   7,549E+00  3,063E-03  121,83 mm     4,64 mm   977,73 um  
   1,70 GeV   7,250E+00  2,896E-03  135,34 mm     5,02 mm     1,08 mm  
   1,80 GeV   6,984E+00  2,747E-03  149,39 mm     5,40 mm     1,19 mm  
   2,00 GeV   6,530E+00  2,492E-03  179,00 mm     6,84 mm     1,41 mm  
   2,25 GeV   6,073E+00  2,235E-03  218,70 mm     8,86 mm     1,71 mm  
   2,50 GeV   5,706E+00  2,027E-03  261,17 mm    10,71 mm     2,02 mm  
   2,75 GeV   5,406E+00  1,856E-03  306,18 mm    12,47 mm     2,35 mm  
   3,00 GeV   5,156E+00  1,712E-03  353,52 mm    14,17 mm     2,69 mm  
   3,25 GeV   4,945E+00  1,590E-03  403,03 mm    15,81 mm     3,04 mm  
   3,50 GeV   4,764E+00  1,484E-03  454,53 mm    17,42 mm     3,40 mm  
   3,75 GeV   4,608E+00  1,392E-03  507,88 mm    18,99 mm     3,77 mm  
   4,00 GeV   4,472E+00  1,311E-03  562,94 mm    20,54 mm     4,15 mm  
   4,50 GeV   4,248E+00  1,176E-03  677,65 mm    26,19 mm     4,92 mm  
   5,00 GeV   4,071E+00  1,066E-03  797,88 mm    31,25 mm     5,71 mm  
   5,50 GeV   3,929E+00  9,755E-04  922,88 mm    35,92 mm     6,51 mm  
   6,00 GeV   3,813E+00  8,997E-04    1,05 m     40,32 mm     7,32 mm  
   6,50 GeV   3,717E+00  8,351E-04    1,18 m     44,50 mm     8,14 mm  
   7,00 GeV   3,637E+00  7,794E-04    1,32 m     48,50 mm     8,95 mm  
   8,00 GeV   3,511E+00  6,883E-04    1,60 m     62,63 mm    10,59 mm  
   9,00 GeV   3,420E+00  6,167E-04    1,89 m     74,78 mm    12,22 mm  
  10,00 GeV   3,351E+00  5,590E-04    2,18 m     85,69 mm    13,83 mm  
  11,00 GeV   3,300E+00  5,115E-04    2,49 m     95,69 mm    15,41 mm  
  12,00 GeV   3,261E+00  4,716E-04    2,79 m    104,98 mm    16,96 mm  
  13,00 GeV   3,231E+00  4,376E-04    3,10 m    113,69 mm    18,49 mm  
  14,00 GeV   3,208E+00  4,083E-04    3,41 m    121,90 mm    19,98 mm  
  15,00 GeV   3,191E+00  3,829E-04    3,72 m    129,69 mm    21,44 mm  
  16,00 GeV   3,179E+00  3,604E-04    4,03 m    137,10 mm    22,87 mm  
  17,00 GeV   3,170E+00  3,406E-04    4,35 m    144,18 mm    24,27 mm  
  18,00 GeV   3,163E+00  3,229E-04    4,67 m    150,97 mm    25,64 mm  
  20,00 GeV   3,157E+00  2,926E-04    5,30 m    175,54 mm    28,28 mm  
  22,50 GeV   3,158E+00  2,620E-04    6,09 m    208,25 mm    31,43 mm  
  25,00 GeV   3,165E+00  2,374E-04    6,88 m    236,41 mm    34,42 mm  
  27,50 GeV   3,176E+00  2,171E-04    7,67 m    261,42 mm    37,27 mm  
  30,00 GeV   3,190E+00  2,001E-04    8,45 m    284,07 mm    39,98 mm  
  32,50 GeV   3,205E+00  1,856E-04    9,24 m    304,86 mm    42,57 mm  
  35,00 GeV   3,221E+00  1,732E-04   10,01 m    324,14 mm    45,05 mm  
  37,50 GeV   3,237E+00  1,623E-04   10,79 m    342,16 mm    47,43 mm  
  40,00 GeV   3,254E+00  1,528E-04   11,56 m    359,10 mm    49,72 mm  
  45,00 GeV   3,289E+00  1,368E-04   13,09 m    419,15 mm    54,05 mm  
  50,00 GeV   3,322E+00  1,239E-04   14,60 m    470,61 mm    58,08 mm  
  55,00 GeV   3,355E+00  1,133E-04   16,10 m    516,10 mm    61,87 mm  
  60,00 GeV   3,386E+00  1,044E-04   17,58 m    557,13 mm    65,44 mm  
  65,00 GeV   3,416E+00  9,683E-05   19,05 m    594,68 mm    68,82 mm  
  70,00 GeV   3,445E+00  9,032E-05   20,51 m    629,40 mm    72,03 mm  
  80,00 GeV   3,499E+00  7,965E-05   23,39 m    749,69 mm    78,02 mm  
  90,00 GeV   3,549E+00  7,130E-05   26,22 m    850,34 mm    83,51 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  3,2101E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
